,Parent,Avg_Monthly_Supply,Parent Agency No.,Name
158,D1172,7141.285714285715,D1172,DD-Henderson Towers Resident  
159,D1173,8587.5,D1173,DD-Hunter's Chapel  
160,D1174,7032.0,D1174,DD-Hurdle Mills  
161,D1175,8815.95652173913,D1175,DD-Piney Grove Baptist Church  
162,D1176,8536.166666666666,D1176,DD-Preiss-Steele Apartments  
163,D1177,11971.666666666666,D1177,DD-South Estes  
164,D1178,4044.3333333333335,D1178,Direct Dist. -- Chatham County  
165,D1179,420.0,D1179,Direct Dist. --Person County  
166,D1180,6135.0,D1180,Direct Dist. --Vance County  
167,D1181,14258.666666666666,D1181,Direct Distr. -- Durham  
168,D1183,11904.130952380952,D1183,DD-Hillsborough SDA  
169,D1185,3316.3333333333335,D1185,BP-Bethesda Baptist Church  
170,D1188,9111.21052631579,D1188,JEWELS Outreach and Networking  
171,D1189,1662.642857142857,D1189,Nehemiah Christian Center  
172,D1194,75.0,D1194,Beacon Lights Academy  
173,D1196,1785.1458333333333,D1196,CSFP - Carolina Spring (Orange  
174,D1199,1949.6666666666667,D1199,CSFP - Emerson Woods  
175,D1201,509.5625,D1201,KC - Chapel Hill Parks & Rec  
176,D1203,2066.086956521739,D1203,CSFP - Lakeview Baptist  
177,D1204,6126.739130434782,D1204,CSFP - Morehead Hills  
178,D1205,1955.8260869565217,D1205,CSFP - Word Harvest  
179,D1207,601.0,D1207,OE Enterprises  
180,D1210,636.0,D1210,SFSP- Ministers Outreach  
181,D1214,26048.847619047618,D1214,Chapel Hill Training Outreach-  
182,D1220,523.9047619047619,D1220,Amity United Methodist Church  
183,D1221,14353.0,D1221,"Peace, Love and Unity  "
184,D1222,7357.761904761905,D1222,Jones Grove Missionary Baptist Church  
185,D1223,3302.1428571428573,D1223,All My Children Family Resource Center  
186,D1225,21006.333333333332,D1225,Orange County - Disaster Relief  
187,D1226,112.42857142857143,D1226,LIFE Center of Durham  
188,D1227,1071.5833333333333,D1227,Club Blvd. School PTA  
189,D1228,409.5,D1228,
190,D1229,745.5,D1229,SP-Jordan High School  
191,D1230,736.0,D1230,WPP-Oak Grove Elementary   
192,D1231,450.0,D1231,WPP- Lakeview Secondary School  
193,D1232,1057.3333333333333,D1232,Root Causes Fresh Produce Program  
194,D1233,517.0,D1233,UNC at Chapel Hill Pediatric CF Center  
195,D1258,11550.4,D1258,Cedar Grove Community Center  
196,D1259,11897.0,D1259,Heavenly Manna  
197,G1000,454.0,G1000,Abundant Life Church  
198,G1002,16691.613749999997,G1002,Alpha and Omega Church  
199,G1003,4346.5,G1003,American Red Cross  
200,G1004,127.0,G1004,American Red Cross- Lenoir  
201,G1005,1010.8571428571429,G1005,An-Nissa 2  
202,G1006,8964.8225,G1006,Antioch United Holy Church  
203,G1007,1621.7142857142858,G1007,Apostolic Deliverance  
204,G1008,2876.75,G1008,Armor of God Christian Church  
205,G1010,6233.833333333333,G1010,Ayden Christian Care Center  
206,G1012,292.25,G1012,BP - Ayden United Methodist Ch  
207,G1013,4903.714285714285,G1013,Direct Distribution -- Onslow  
208,G1014,1022.6666666666666,G1014,"Believe In Jesus Ministry, Inc  "
209,G1015,1362.4285714285713,G1015,BP - Bethel United Methodist Church  
210,G1016,233.0,G1016,SFSP - Bethlehem Missionary  
211,G1017,1015.8181818181819,G1017,Black Jack OFWB Church  
212,G1018,8643.640833333333,G1018,Bountiful Blessings House of Redemption Inc
213,G1019,1084.0,G1019,CKC - Boys & Girls Club of the  
214,G1020,13757.125416666668,G1020,Bread of Life Grifton  
215,G1023,4345.25,G1023,Catholic Charities- Tar River Regional Office
216,G1024,2070.5833333333335,G1024,Christ Deliverance Tabernacle Ministries
217,G1025,4552.833333333333,G1025,Christian Fellowship Homes Food Pantry
218,G1026,1490.1,G1026,BP - Christ's Church/Creekside  
219,G1027,66465.7901871317,G1027,Churches Outreach  Network  
220,G1028,4360.2307692307695,G1028,Community Soup Kitchen of  
221,G1029,18804.291666666664,G1029,Conetoe Family Life Center  
222,G1030,1269.357142857143,G1030,Darden Enlightenment Center  
223,G1032,13074.153846153846,G1032,Direct Distr. -- Lenoir County  
224,G1033,7648.75,G1033,Direct Distr. -- Pitt County  
225,G1036,12955.57125,G1036,Emmanuel Community Unison Baptist Church
226,G1037,17559.023333333334,G1037,Faith Developmental Community Center
227,G1038,13407.556666666665,G1038,First Born Community  
228,G1039,5123.58875,G1039,First Missionary Baptist Church
229,G1040,655.7142857142857,G1040,Flynn Christian Fellowship  
230,G1041,1206.5,G1041,Freedom Family Foundation Inc  
231,G1042,962.0,G1042,BP - Garris Chapel United  
232,G1044,7039.109523809523,G1044,Greater St Peter Church Ministries Inc
233,G1045,42571.77013888889,G1045,Greene County Interfaith Volunteers
234,G1046,15191.5,G1046,Greene Lamp  
235,G1048,57859.833333333336,G1048,Grifton Mission Ministries  
236,G1050,45643.85172619048,G1050,Hands for Humanity CDC  
237,G1051,19781.083333333332,G1051,Haven's Rescue Disaster Relief  
238,G1052,4741.952380952381,G1052,Herring Grove FWB Church  
239,G1053,14033.739130434782,G1053,Hobgood Citizens Group  
240,G1054,197.66666666666666,G1054,Hope of Glory Ministries Inc  
241,G1056,8842.40909090909,G1056,Iglesia Pentecostal Unida  
242,G1057,6035.4375,G1057,Ivory Hill Baptist Church  
243,G1058,7244.577499999999,G1058,Joseph Provisions  
244,G1059,1983.25,G1059,JOY Soup Kitchen  
245,G1060,2325.695652173913,G1060,Kairos Church Ministry  
246,G1061,185.27272727272728,G1061,Kennedy Baptist Children's Home  
247,G1062,3486.695652173913,G1062,Kingdom Care Inc  
248,G1063,6216.166666666666,G1063,Kingdom Kids Club - Lighthouse Fellowship Min.
249,G1064,10966.319166666666,G1064,Koinonia Christian Center Church
250,G1065,19718.0,G1065,Lenoir - Disaster Relief  
251,G1066,2469.6191304347826,G1066,Living Waters Ministries of Pinetops Inc SOAR
252,G1067,2381.230769230769,G1067,Loving Light Community  
253,G1068,239.52941176470588,G1068,LWG Inter-Generational  
254,G1069,11900.666666666666,G1069,Mary Grove Missionary Baptist  
255,G1070,814.5,G1070,Mary's Kitchen  
256,G1071,3770.590909090909,G1071,"Bread of Life Ministries, Inc.  Farmville COG 7th Day"
257,G1072,2196.8947368421054,G1072,Mount Calvary Grace & Mercy Street Ministry  
258,G1073,8037.041666666667,G1073,NEEDS Center  
259,G1074,6058.829166666666,G1074,New Freedom Interracial  
260,G1075,4554.631578947368,G1075,New Mt Moriah United Holy Church
261,G1076,409.5,G1076,Northern Pitt County  
262,G1079,4093.224358974359,G1079,Operation Sunshine Inc  
263,G1080,12699.624782608695,G1080,Optimal Beginnings Inc  
264,G1081,29535.150416666667,G1081,Paradise Outreach Ministries Inc
265,G1082,15847.04,G1082,Pentecostal Temple   
266,G1083,4675.866666666667,G1083,Philippi Church of Christ  
267,G1084,17119.0,G1084,Pitt - Disaster Relief  
268,G1085,17268.146249999998,G1085,Project Anna Inc  
269,G1086,7805.666666666667,G1086,"Regeneration Development Group, Inc"
270,G1087,26389.8115942029,G1087,Rose Hill Free Will Baptist Church
271,G1089,2159.9816666666666,G1089,Saints Delight Church of God  in Christ  
272,G1090,13646.444166666668,G1090,Salem United Methodist Church Share the Bounty Food Pantry
273,G1092,8314.004583333333,G1092,Salvation Army-Greenville  
274,G1093,914.8888888888889,G1093,KC - Scotland Neck  
275,G1094,1001.8947368421053,G1094,Senior Home Care Services Inc Ministry of Sycamore Hill MBC
276,G1095,1051.5263157894738,G1095,Sharon United Methodist Church Book Bag Buddies
277,G1096,402.2,G1096,Spirit of Unity  
278,G1097,3312.5,G1097,St. James United Methodist Church
279,G1098,10230.605833333335,G1098,St. Paul's Episcopal Church Back Pack Buddies
280,G1099,1820.608695652174,G1099,St. Peter Catholic Church  
281,G1100,6734.1,G1100,St. Marks/ La Guadalupana Episcopal Churches
282,G1101,18490.864166666666,G1101,St. Paul Church of Christ Guardian Angel Outreach
283,G1102,4850.615384615385,G1102,St. Peter's Development Center  
284,G1103,13606.983333333334,G1103,Staton Mill Road Community Outreach Inc
